"species","code","longitude","latitude","source","locality.eflora","plot.lucas","elevation","Forest","Non.Forest","Alpine","coord_prec"
"Veronica odora",NA,167.9196,-45.6269,"gbif",NA,NA,1167.507935,0,1,1,4
"Veronica odora","WELT.SP098795",167.7957314,-45.63752231,"eflora","Takitimu Ra. [Range], Cheviot Downs Stn. [Station], saddle between Excelsior and Mitchell Creeks.",NA,922.0581055,0,1,1,8
"Veronica odora","CHR307644",168.7966,-45.64079,"eflora","Garvie Mountains, Southland. Sullivan Hut.",NA,442.250946,0,1,1,5
"Veronica odora","CHR307646",168.7966,-45.64079,"eflora","Garvie Mountains, Southland, Sullivan Hut.",NA,442.250946,0,1,1,5
"Veronica odora","CHR 307644",168.797,-45.6408,"gbif",NA,NA,446.7147827,0,1,1,4
"Veronica odora","CHR 307646",168.797,-45.6408,"gbif",NA,NA,446.7147827,0,1,1,4
"Veronica odora","CHR 465677",167.809,-45.6426,"gbif",NA,NA,1220,0,1,1,4
"Veronica odora","CHR465677",167.8094,-45.64264,"eflora","Southland; Takitimu Range, Tower Peak. Northern slopes.",NA,1229.476929,0,1,1,5
"Veronica odora","CHR 470100",167.809,-45.6435,"gbif",NA,NA,1257.528564,0,1,1,4
"Veronica odora","CHR470100",167.8093,-45.64354,"eflora","Southland; Takitimu Range; NW face of Tower Peak.",NA,1268.622803,0,1,1,5
"Veronica odora","CHR127846",167.8011,-45.64438,"eflora","Tower Pk., Takitimu Mountains",NA,1398.698975,0,1,1,5
"Veronica odora","CHR 127846",167.801,-45.6444,"gbif",NA,NA,1387.412842,0,1,1,4
"Veronica odora",NA,167.9794,-45.6452,"gbif",NA,NA,595.3601074,0,1,1,4
"Veronica odora",NA,167.9794,-45.6452,"gbif",NA,NA,595.3601074,0,1,1,4
"Veronica odora","CHR176656",167.8111,-45.64609,"eflora","Takitimu Mountains, Southland",NA,1380,0,1,1,5
"Veronica odora","CHR 176656",167.811,-45.6461,"gbif",NA,NA,1358.033203,0,1,1,4
"Veronica odora",NA,167.9267,-45.6477,"gbif",NA,NA,978.7376099,0,1,1,4
"Veronica odora","WELT.SP081529",169.7885458,-45.64863614,"eflora","Summit of Ailsa Craig.",NA,1126.425293,0,1,1,8
"Veronica odora","CHR 470332",169.793,-45.6518,"gbif",NA,NA,1105.009766,0,1,1,4
"Veronica odora","CHR 470335",169.793,-45.6518,"gbif",NA,NA,1105.009766,0,1,1,4
"Veronica odora","CHR470332",169.7933,-45.65181,"eflora","Otago, Lammermoor Range, south of Ailsa Craig ",NA,1103.210938,0,1,1,5
"Veronica odora","CHR470335",169.7933,-45.65181,"eflora","Otago, Lammermoor Range, south of Ailsa Craig",NA,1103.210938,0,1,1,5
"Veronica odora","WELT.SP082037",168.5726393,-45.66051197,"eflora","Mid Dome, Black Rock [Black Hill].",NA,757.1000977,0,1,1,8
"Veronica odora",NA,167.9573,-45.661,"gbif",NA,NA,750.4492798,0,1,1,4
"Veronica odora",NA,167.9573,-45.661,"gbif",NA,NA,750.4492798,0,1,1,4
"Veronica odora",NA,167.9464,-45.6673,"gbif",NA,NA,688.3613281,0,1,1,4
"Veronica odora",NA,167.9464,-45.6673,"gbif",NA,NA,688.3613281,0,1,1,4
"Veronica odora","WELT.SP091935",166.617019,-45.66813606,"eflora","Fiordland, Resolution Island, Mt Roa",NA,876.2211914,0,1,1,8
"Veronica odora",NA,168.0062,-45.6683,"gbif",NA,NA,622.0941772,0,1,1,4
"Veronica odora",NA,168.0062,-45.6683,"gbif",NA,NA,622.0941772,0,1,1,4
"Veronica odora","CHR20944",168.2441,-45.67016,"eflora","Southland, near Mossburn.",NA,291.7201538,0,1,1,5
"Veronica odora","CHR 20944",168.244,-45.6702,"gbif",NA,NA,291.6782837,0,1,1,4
"Veronica odora",NA,167.9,-45.6765,"gbif",NA,NA,808.227417,0,1,1,4
"Veronica odora",NA,167.9,-45.6765,"gbif",NA,NA,808.227417,0,1,1,4
"Veronica odora",NA,167.2156,-45.687,"gbif",NA,NA,1492.518311,0,1,1,4
"Veronica odora","2364143",169.611483,-45.688728,"gbif",NA,NA,705.3970947,0,1,1,6
"Veronica odora",NA,167.9187,-45.696,"gbif",NA,NA,775.0531006,0,1,1,4
"Veronica odora",NA,168.0078,-45.6979,"gbif",NA,NA,702.7833252,0,1,1,4
"Veronica odora",NA,168.0078,-45.6979,"gbif",NA,NA,702.7833252,0,1,1,4
"Veronica odora",NA,168.0054,-45.6987,"gbif",NA,NA,620,0,1,1,4
"Veronica odora","2588389",169.738512,-45.71128,"gbif",NA,NA,1140.442993,0,1,1,6
"Veronica odora","2588390",169.738512,-45.71128,"gbif",NA,NA,1140.442993,0,1,1,6
"Veronica odora",NA,167.2235,-45.7132,"gbif",NA,NA,943.6877441,0,1,1,4
"Veronica odora","CHR595727",169.7401,-45.71439,"eflora","Lammermore [Lammermoor] Top, Lammermore [Lammermoor] Range",NA,1141.541748,0,1,1,5
"Veronica odora","CHR 595727",169.74,-45.7144,"gbif",NA,NA,1141.121704,0,1,1,4
"Veronica odora",NA,167.2479,-45.7174,"gbif",NA,NA,985.815979,0,1,1,4
"Veronica odora",NA,167.2549,-45.7177,"gbif",NA,NA,1089.206787,0,1,1,4
"Veronica odora",NA,167.8431,-45.7389,"gbif",NA,NA,1215.758911,0,1,1,4
"Veronica odora","10134359",167.381,-45.745126,"gbif",NA,NA,981.1152344,0,1,1,6
"Veronica odora","CHR432119",168.9197,-45.74967,"eflora","Southland, Southwest Umbrella Ecological Dristrict, Awatere Station.",NA,249.8255157,0,1,1,5
"Veronica odora","CHR 432119",168.92,-45.7497,"gbif",NA,NA,254.8528137,0,1,1,4
